work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,AI Engineer,CV/AI,EUR,186597,199658.79,US,EX,CT,Remote,DE,L
2020,Statistician,Analysis ,INR,110630,1493.5049999999999,JP,EN,FL,Remote,IN,M
2022,Machine Learning,ML/AI,us dolars,61280,61280.0,UK,MI,CT,Hybrid,CN,L
2022,Data Analyst,Analysis,us dolars,154130,154130.0,DE,EX,FT,Hybrid,MX,L
2020,Statistician,Analysis ,GBP,172312,224005.6,UK,EX,FT,In-person,UK,S
2020,Machine Learning,ML/AI,EUR,36544,43121.92,CN,EN,FT,Hybrid,DE,M
2022,Data Analyst,Analysis,EUR,178404,190892.28,DE,EX,PT,In-person,DE,L
2021,Data Scientist,Data Science,JPY,187908,1709.9628,UK,EN,CT,Remote,JP,M
2022,Data Analyst,Analysis,EUR,44388,47495.16,UK,EN,FL,In-person,DE,S
2022,Statistician,Analysis ,us dolars,31694,31694.0,DE,EN,CT,Remote,US,S
2022,Data Engineer,Data Engineer,us dolars,157727,157727.0,US,EX,FL,In-person,US,S
2022,Data Scientist,Data Science,GBP,118202,145388.46,MX,SE,FL,In-person,UK,M
2020,Deep Learning,DL/AI,EUR,143057,168807.25999999998,MX,EX,FL,In-person,DE,S
2022,Statistician,Analysis ,JPY,79294,681.9284,JP,EN,CT,In-person,JP,M
2021,Data Engineer,Data Engineer,us dolars,68769,68769.0,JP,MI,FT,Hybrid,CN,M
2020,Data Analyst,Analysis,GBP,143289,186275.7,MX,EX,PT,In-person,UK,M
2021,Data Engineer,Data Engineer,INR,132885,1780.659,US,EN,PT,In-person,IN,L
2021,Statistician,Analysis ,JPY,67855,617.4805,UK,EN,FT,Remote,JP,M
2021,Statistician,Analysis ,INR,162532,2177.9288,JP,EN,PT,Remote,IN,L
2021,Data Engineer,Data Engineer,GBP,77646,107151.48,US,SE,FL,In-person,UK,L
2020,Data Analyst,Analysis,us dolars,170907,170907.0,US,EX,PT,In-person,US,L
2020,Data Engineer,Data Engineer,JPY,143947,1353.1018000000001,JP,EN,CT,In-person,JP,M
2021,Statistician,Analysis ,us dolars,40910,40910.0,MX,EN,FT,Hybrid,CN,S
2021,Statistician,Analysis ,JPY,112757,1026.0887,DE,EN,FT,Hybrid,JP,S
2020,Deep Learning,DL/AI,GBP,38463,50001.9,IN,MI,FT,Remote,UK,M
2020,Deep Learning,DL/AI,JPY,174408,1639.4352000000001,MX,EN,FT,Hybrid,JP,M
2020,Data Scientist,Data Science,JPY,56534,531.4196000000001,DE,EN,CT,Hybrid,JP,S
2022,Statistician,Analysis ,GBP,163441,201032.43,MX,EX,FL,In-person,UK,L
2022,Deep Learning,DL/AI,us dolars,186453,186453.0,UK,EX,FL,Hybrid,MX,S
2022,Data Engineer,Data Engineer,EUR,142296,152256.72,DE,EX,FL,In-person,DE,S
2021,Data Analyst,Analysis,GBP,115094,158829.72,CN,EX,PT,Hybrid,UK,S
2022,Data Engineer,Data Engineer,JPY,117905,1013.983,IN,EN,FL,Hybrid,JP,S
2021,Data Analyst,Analysis,us dolars,55407,55407.0,MX,MI,PT,Remote,CN,L
2021,Machine Learning,ML/AI,us dolars,92552,92552.0,IN,MI,CT,In-person,CN,S
